,User,Date Created,Number of Likes,Source of Tweet,Tweet
131,barbar95226848,2023-01-31 23:57:41+00:00,0,Twitter for Android,@avanunice #SaveWarriorNun #WarriorNun NETFLIX REVERSE YOUR DECISION
132,hammouti_akrame,2023-01-31 23:57:41+00:00,1,Twitter for Android,"@netflix Munich- the edge of war is the best movie ever...
Change my mind"
133,itsem3345,2023-01-31 23:57:40+00:00,1,Twitter for iPhone,"@bea_alva07 You’re onto something there 😂😂😂 Imma go do that after I eat. Bestie to the rescue 😂
#SaveWarriorNun
NETFLIX REVERSE YOUR DECISION"
134,RenedeBruijn15,2023-01-31 23:57:39+00:00,2,Twitter for Android,@Danila_dating @Biancaaa_23 If you want to watch Netflix you should really put your panties on
135,GoOhanago1,2023-01-31 23:57:39+00:00,10,Twitter for iPhone,"#エルピス が #Netflix で配信スタート❣️
電車の中でゆっくり観れる🥰"
136,Inia_I,2023-01-31 23:57:38+00:00,1,Twitter Web App,@SofiForestieri Mi vida es un constante capitulo de netflix en el que me pasan esas cosas
137,marveloeyyy,2023-01-31 23:57:36+00:00,0,Twitter for Android,@moviemenfes kok gada di netflix sih nder
138,otterz4lyfe,2023-01-31 23:57:34+00:00,0,Twitter for iPhone,When Netflix tweets about a show I start to expect trailers.
139,neidejosepaixao,2023-01-31 23:57:34+00:00,1,Twitter Web App,"It started...

NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun 

More info here
👉🏻 https://t.co/PAYC78OZJ0

Warrior Nun Petition
👉🏻 https://t.co/V2Uajx1t3b

Donate if you can
👉🏻 https://t.co/jkYN8HgAYs"
140,Nunsimp_lol,2023-01-31 23:57:34+00:00,1,Twitter for iPhone,"@this_is_it_me También fui medio adoptada 🙆🏻‍♀️ 
#SaveWarriorNun #WarriorNun 
NETFLIX REVERSE YOUR DECISION"
141,Loonthekat,2023-01-31 23:57:33+00:00,1,Twitter for Android,Quarantined at home. I'm a loner so. NETFLIX REVERSE YOUR DECISION #WarriorNun #SaveWarriorNun
142,claudiagsorto,2023-01-31 23:57:33+00:00,0,Twitter for Android,Segunda tarde clavadaaaa en netflix 😵‍💫
143,mmmmmmilca,2023-01-31 23:57:33+00:00,0,Twitter for iPhone,aaaa may chainsaw man sa netflix??!?!?!?!
144,keeganater369,2023-01-31 23:57:32+00:00,0,Twitter for Android,@JoeyFromPhilly If we stop supporting channels that allow this and boycott Netflix and their extreme agenda we will make things fair again. It's like white people are hated now for no reason whatsoever
145,GuiaNetflix_,2023-01-31 23:57:32+00:00,0,dlvr.it,O que há de novo na Netflix e as 10 principais séries e filmes: 31 de janeiro de 2023 https://t.co/F8rIgfh2mq #NovidadesnaNetflix #filmes #há #janeiro #Netflix
